"mean.vote.in.slot"	"age"	"in.temp"	"in.humid"	"out.temp"	"out.humid"	"in.temp.diff"	"in.humid.diff"	"out.temp.diff"	"out.humid.diff"	"week"	"hour"
0	30	24.24	66.26	32.599998	55	0.0800000000000018	0.753333333333345	-0.266668000000003	2	34	15
-1	39	24.24	66.26	32.599998	55	0.0800000000000018	0.753333333333345	-0.266668000000003	2	34	15
0	39	23.82	64.76	31.7666653333333	58	0.0800000000000018	0.100000000000009	-0.833332666666667	3	34	16
0	30	23.7866666666667	64.7733333333333	30.1	64	-0.0333333333333314	0.0133333333333212	-1.66666533333333	6	34	16
0	39	23.8866666666667	65.4133333333333	30.2333333333333	64	0.153333333333332	-0.38000000000001	0.133333333333333	0	34	17
0	42	23.9133333333333	64.24	30.5	64	0.226666666666667	-0.0733333333333377	0	0	34	18
1	34	23.8133333333333	63.8666666666667	30	62	-0.100000000000001	-0.373333333333328	-0.5	-2	34	18
-1	41	23.8066666666667	63.1333333333333	29	58	-0.00666666666666416	-0.733333333333334	-1	-4	34	18
1	34	22.4133333333333	65.04	28.566667	61	0.213333333333335	2.22666666666666	-0.133334000000001	1	34	20
1.5	34	25.0733333333333	74.4133333333333	28.6	58	-0.473333333333333	2.83999999999999	0.933332666666669	-4.66666666666666	34	9
-1	41	25.3	73.52	28.6	58	0.226666666666667	-0.893333333333331	0	0	34	10
0	30	24.7866666666667	71.8	28.6	58	-0.513333333333335	-1.72	0	0	34	10
0	41	24.7866666666667	71.8	28.6	58	-0.513333333333335	-1.72	0	0	34	10
0.5	39	24.7466666666667	69.5533333333333	29.0333333333333	56.6666666666667	-0.0399999999999991	-2.24666666666666	0.433333333333334	-1.33333333333334	34	10
0	41	24.38	68.2066666666667	29.9	54	-0.366666666666667	-1.34666666666668	0.866666666666664	-2.66666666666666	34	10
0	30	24.16	68.82	29.9	54	-0.219999999999999	0.613333333333344	0	0	34	11
0	33	24.0666666666667	69.18	30.1999996666667	52.6666666666667	-0.32	0.00666666666667481	0.299999666666668	-1.33333333333334	34	11
2	34	24.0666666666667	69.18	30.1999996666667	52.6666666666667	-0.32	0.00666666666667481	0.299999666666668	-1.33333333333334	34	11
-1	39	24.0666666666667	69.18	30.1999996666667	52.6666666666667	-0.32	0.00666666666667481	0.299999666666668	-1.33333333333334	34	11
0	42	24.14	67.6	30.799999	50	0.146666666666668	-0.280000000000001	0	0	34	12
2	34	24.14	67.6	30.799999	50	0.146666666666668	-0.280000000000001	0	0	34	12
0	33	24.2466666666667	68.0066666666667	30.799999	50	0.106666666666666	0.406666666666666	0	0	34	12
0	30	24.2466666666667	68.0066666666667	30.799999	50	0.106666666666666	0.406666666666666	0	0	34	12
-1	41	24.1533333333333	65.9933333333333	31.1999993333333	50	-0.0933333333333337	-2.01333333333334	0.400000333333335	0	34	12
-0.5	39	25.2666666666667	64.12	32	50	1.11333333333333	-1.87333333333332	0.800000666666666	0	34	12
-1	41	25.6333333333333	64.0533333333333	32	50	0.140000000000001	0.513333333333343	0	0	34	13
0	30	25.6333333333333	64.0533333333333	32	50	0.140000000000001	0.513333333333343	0	0	34	13
2	34	25.6333333333333	64.0533333333333	32	50	0.140000000000001	0.513333333333343	0	0	34	13
0.5	42	25	64.7333333333333	32.2666663333333	49.3333333333333	-0.633333333333333	0.679999999999993	0.266666333333333	-0.666666666666664	34	13
0	33	25	64.7333333333333	32.2666663333333	49.3333333333333	-0.633333333333333	0.679999999999993	0.266666333333333	-0.666666666666664	34	13
1	34	24.58	65.72	32.799999	48	-0.420000000000002	0.986666666666665	0.533332666666666	-1.33333333333334	34	13
0	39	24.58	65.72	32.799999	48	-0.420000000000002	0.986666666666665	0.533332666666666	-1.33333333333334	34	13
0	30	24.2466666666667	66.0266666666667	32.799999	48	-0.333333333333332	0.306666666666672	0	0	34	14
1	33	24.9466666666667	66.1133333333333	32.933333	47	0.34	-0.393333333333331	0.133333999999998	-1	34	14
2	42	24.9466666666667	66.1133333333333	32.933333	47	0.34	-0.393333333333331	0.133333999999998	-1	34	14
0	39	24.9466666666667	66.1133333333333	32.933333	47	0.34	-0.393333333333331	0.133333999999998	-1	34	14
1	34	25.6666666666667	63.9333333333333	33.200001	45	0.720000000000002	-2.18	0.266668000000003	-2	34	14
-1	41	24.72	65.18	33.200001	45	-0.933333333333334	1.76666666666667	0	0	34	15
-1	39	24.72	65.18	33.200001	45	-0.933333333333334	1.76666666666667	0	0	34	15
