"mean.vote.in.slot"	"age"	"in.temp"	"in.humid"	"out.temp"	"out.humid"	"in.temp.diff"	"in.humid.diff"	"out.temp.diff"	"out.humid.diff"	"week"	"hour"	"k1816"	"x2121"
1	38	32.14	39.1333333333333	30.5666666666667	56.2857142857143	0.673333333333332	-0.406666666666666	0.466666666666665	-1.71428571428572	35	12	0	1
-1	40	28.28	56.3133333333333	32.400002	48	-0.0266666666666673	0.373333333333335	0.600001333333335	-2.66666666666666	35	13	1	0
2	38	26.14	40.14	27.799999	66	-0.152857142857144	-0.502857142857138	1.49999857142857	-5.71428571428571	35	9	0	1
2.66666666666667	38	27.84	50.1533333333333	31.200001	59	0.739999999999998	-2.81809523809524	1.06666733333333	-2.85714285714285	35	11	0	1
3	38	25.82	57.5333333333333	32.5	51	-0.173333333333332	2.21333333333333	0	0	35	15	0	1
-0.666666666666667	40	24.28	68.68	18.0571424285714	88	-0.234285714285715	0.908571428571435	0.257143428571428	0	36	9	1	0
-2	40	24.06	69.58	18.700001	88	-0.219999999999999	0.899999999999991	0.642858571428572	0	36	9	1	0
3	38	24.52	68.9333333333333	18.700001	88	0.0599999999999987	0.153333333333336	0	0	36	10	0	1
3	38	28.9933333333333	53.16	24.1	62	0.0800000000000018	-0.18666666666666	0	0	36	15	0	1
3	38	27.2466666666667	53.2	24.1	60	0.0933333333333337	-0.426666666666662	0	0	36	16	0	1
0	40	27.14	55.04	23.6	61	-0.113333333333333	0.606666666666669	0	0	36	18	1	0
1	40	28.5333333333333	63.2466666666667	24	74	0.220000000000002	-0.68	0	0	36	9	1	0
3	38	29.1	62.0142857142857	24.299999	71	0.326666666666668	-0.665714285714287	0.199999333333334	-2	36	9	0	1
3	38	30.2933333333333	58.0933333333333	26.9	65	0.0647619047619052	-0.492380952380955	0	0	36	12	0	1
3	38	30.4666666666667	56.1466666666667	28	62	0.153333333333332	-1.97333333333333	0.733333333333334	-2	36	12	0	1
2	38	29.5066666666667	57.0533333333333	28	62	-0.959999999999997	0.906666666666666	0	0	36	13	0	1
-0.5	40	25.0571428571429	60.8857142857143	30.200001	47	0.0371428571428574	0.559047619047618	0.200000666666668	-2	36	15	1	0
-1	40	25.7533333333333	63.84	30.200001	47	0.696190476190477	2.95428571428571	0	0	36	16	1	0
2	38	28.86	57.66	23.1	70	-0.0733333333333341	0.293333333333329	0.599999333333333	-4.28571428571429	36	9	0	1
2	38	29.1	57.2733333333333	22.700001	69	0.0933333333333337	-0.173333333333332	0	0	36	12	0	1
2	38	29.3	60.42	22.1	77	0	0.24666666666667	0	0	36	15	0	1
0.333333333333333	40	26.56	61.24	28.299999	67	-1.94	-0.259999999999998	7	-16	37	14	1	0
2	38	26.56	61.24	28.299999	67	-1.94	-0.259999999999998	7	-16	37	14	0	1
-0.2	40	26.8666666666667	64.5785714285714	27.9571421428571	67	0.306666666666668	3.33857142857143	-0.342856857142856	0	37	14	1	0
2	38	26.9133333333333	67.9	26.6	68	-0.00666666666666771	0.226666666666674	0	0	37	17	0	1
3	38	26.88	67.5933333333333	26.3666666666667	68.6666666666667	-0.033333333333335	-0.306666666666672	-0.233333333333334	0.666666666666671	37	17	0	1
2	38	26.4733333333333	56.3733333333333	25.9	70	1.1	-5.52	0	0	37	18	0	1
-2	38	24.3642857142857	53.7928571428571	25.4	70	-2.34238095238095	-2.72714285714285	-0.333333333333332	0	37	18	0	1
-0.181818181818182	40	29.6	63.1666666666667	23.4	80	0.100000000000001	-0.460000000000001	0	0	37	11	1	0
1.5	38	29.6	63.1666666666667	23.4	80	0.100000000000001	-0.460000000000001	0	0	37	11	0	1
1	40	29.36	62.66	23.6333333333333	78.2857142857143	-0.190000000000001	-0.139999999999993	0.233333333333334	-1.71428571428571	37	11	1	0
2.5	38	29.9133333333333	61.14	24.1	74	0.553333333333335	-1.52	0.466666666666669	-4.28571428571429	37	11	0	1
2	38	30.0933333333333	60.3133333333333	24.1	74	0.18	-0.826666666666668	0	0	37	12	0	1
2	40	30.0933333333333	60.3133333333333	24.1	74	0.18	-0.826666666666668	0	0	37	12	1	0
-0.0909090909090909	40	28.4666666666667	57.7933333333333	24.1	74	-1.62666666666667	-2.52	0	0	37	12	1	0
-1	40	25.22	47.3133333333333	25.700001	69	-1.10666666666667	-3.56666666666667	1.06666733333333	-3.33333333333333	37	12	1	0
0	40	26.04	60.08	25.8000006666667	67.5714285714286	0.219999999999999	1.84	0.0999996666666654	-1.42857142857143	37	13	1	0
-1	40	26.1	62.0733333333333	26	64	0.0733333333333341	1.19333333333333	0	0	37	14	1	0
0	40	26.08	64.18	26.4	63	0.0466666666666669	0.780000000000008	0	0	37	15	1	0
0	40	26.0714285714286	64.6785714285714	26.6857146428571	62.0769230769231	-0.0219047619047643	0.518571428571434	0.285714642857144	-0.92307692307692	37	15	1	0
-1	40	26.0933333333333	65.3466666666667	27.200001	60	0.0219047619047643	0.668095238095233	0.514286357142858	-2.07692307692308	37	15	1	0
-1	40	26.1066666666667	66.0866666666667	27.200001	60	0.0133333333333319	0.739999999999995	0	0	37	16	1	0
-1.5	38	25.9866666666667	67.5533333333333	26.9	61	0.00666666666666771	0.313333333333333	0	0	37	17	0	1
0	40	26.94	65.96	25.799999	68	1	-2.51333333333334	0	0	37	18	1	0
1.42857142857143	38	26.94	65.96	25.799999	68	1	-2.51333333333334	0	0	37	18	0	1
0.5	38	26.2466666666667	66.2733333333333	25.433333	70	-1.26	2.76666666666667	-0.366665999999999	2	37	18	0	1
0.5	38	30.3266666666667	58.5866666666667	24.299999	74	0.293333333333329	-0.700000000000003	1	-4.66666666666667	37	10	0	1
2	38	28.34	47.86	25.700001	67	2.49	1.52428571428571	0	0	37	12	0	1
2	38	24.48	43.28	26.700001	61	-0.586666666666666	-1.00666666666667	0	0	37	13	0	1
-0.2	40	26.6266666666667	63.5533333333333	25.1	73	-0.0400000000000027	0.56666666666667	0	0	37	18	1	0
0	40	26.76	64.1333333333333	23.200001	80	0.00666666666666771	0.320000000000007	-1.266666	4.66666666666667	37	18	1	0
0	40	26.6866666666667	64.6333333333333	23.200001	80	-0.086666666666666	0.353333333333339	0	0	37	19	1	0
1	40	26.5866666666667	65.2066666666667	22.8000006666667	82	-0.100000000000001	0.573333333333323	-0.400000333333335	2	37	19	1	0
1	40	26.62	65.36	22	86	0.033333333333335	0.153333333333336	-0.800000666666666	4	37	19	1	0
1	40	27.7	63.4266666666667	19.799999	97	0	-0.046666666666674	0	0	37	7	1	0
1	40	26.9266666666667	63.4933333333333	27.6333333333333	55.6666666666667	-0.033333333333335	0.533333333333331	0.133333333333333	-0.333333333333336	37	16	1	0
1	40	27.0133333333333	61.9	27.9	55	0.086666666666666	-2.07333333333334	0	0	37	17	1	0
2	38	29.8714285714286	60.0428571428571	23.4	77	0.164761904761903	-0.737142857142857	0.733333999999999	-4.66666666666667	38	10	0	1
2	38	29.98	60.3533333333333	24.799999	69	-0.34	0.240000000000002	0	0	38	12	0	1
2	38	29.7642857142857	57.8428571428571	24.5	65	-0.0757142857142838	-0.310476190476194	-0.199999333333334	-2.85714285714286	38	12	0	1
2	38	31.4733333333333	53.3333333333333	22.6	76	0.173333333333332	-0.366666666666667	1.5	-6.66666666666667	38	9	0	1
2	38	31.66	52.32	25.700001	63	-0.00666666666666771	0.0533333333333346	0.800000666666666	-4.66666666666667	38	11	0	1
1.89473684210526	38	31.6866666666667	52.52	25.700001	63	0.0266666666666673	0.199999999999996	0	0	38	12	0	1
1.75	40	31.6866666666667	52.52	25.700001	63	0.0266666666666673	0.199999999999996	0	0	38	12	1	0
2	38	27.26	57.6133333333333	28.6	51	-0.0600000000000023	0.580000000000005	0	0	38	16	0	1
0	40	29.8	57.4428571428571	23.200001	72	-1.1875	5.44285714285714	1.700001	-13	40	12	1	0
0	40	27.86	60.34	23.700001	72	-0.420000000000002	2.97333333333333	0.5	0	40	12	1	0
1.5	38	27.3733333333333	66.08	25.5	69	-0.0733333333333306	0.280000000000001	0	0	40	15	0	1
2	38	25.56	62.5533333333333	17	90	0.273333333333337	-0.486666666666665	0	0	40	10	0	1
